"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"12.06.2024","213,07","207,37","220,20","206,90","198,13M","2,86%"
"11.06.2024","207,15","193,65","207,16","193,63","172,37M","7,26%"
"10.06.2024","193,12","196,90","197,30","192,15","97,26M","-1,91%"
"07.06.2024","196,89","194,65","196,94","194,14","53,10M","1,24%"
"06.06.2024","194,48","195,68","196,50","194,17","41,18M","-0,71%"
"05.06.2024","195,87","195,40","196,90","194,87","54,16M","0,78%"
"04.06.2024","194,35","194,63","195,32","193,03","47,47M","0,16%"
"03.06.2024","194,03","192,90","194,99","192,52","50,08M","0,93%"
"31.05.2024","192,25","191,44","192,57","189,91","75,16M","0,50%"
"30.05.2024","191,29","190,76","192,18","190,63","49,95M","0,53%"
"29.05.2024","190,29","189,61","192,25","189,51","53,07M","0,16%"
"28.05.2024","189,99","191,51","193,00","189,10","52,28M","0,01%"
"24.05.2024","189,98","188,82","190,58","188,04","36,33M","1,66%"
"23.05.2024","186,88","190,98","191,00","186,63","51,01M","-2,11%"
"22.05.2024","190,90","192,26","192,82","190,27","34,65M","-0,75%"
"21.05.2024","192,35","191,09","192,73","190,92","42,31M","0,69%"
"20.05.2024","191,04","189,32","191,92","189,01","44,36M","0,62%"
"17.05.2024","189,87","189,51","190,81","189,18","41,28M","0,02%"
"16.05.2024","189,84","190,47","191,10","189,66","52,85M","0,06%"
"15.05.2024","189,72","187,91","190,65","187,37","70,40M","1,22%"
"14.05.2024","187,43","187,51","188,30","186,29","52,39M","0,62%"
"13.05.2024","186,28","185,43","187,10","184,62","72,04M","1,76%"
"10.05.2024","183,05","184,90","185,09","182,13","50,76M","-0,82%"
"09.05.2024","184,57","182,56","184,66","182,11","48,98M","1,00%"
"08.05.2024","182,74","182,85","183,07","181,45","45,06M","0,19%"
"07.05.2024","182,40","183,45","184,90","181,32","77,31M","0,38%"
"06.05.2024","181,71","182,35","184,20","180,42","78,57M","-0,91%"
"03.05.2024","183,38","186,65","187,00","182,66","163,22M","5,98%"
